time,homeappliances,utilities,heating,water,vehicles
00:00:00,837,287,1316,199,1114
00:15:00,784,278,1316,199,1114
00:30:00,732,269,1316,199,1114
00:45:00,679,270,1395,199,1114
01:00:00,627,245,1395,181,1114
01:15:00,601,240,1395,181,1114
01:30:00,576,236,1395,181,1114
01:45:00,562,234,1395,181,1114
02:00:00,549,235,1395,188,1114
02:15:00,536,281,1395,188,1114
02:30:00,523,231,1395,188,1114
02:45:00,523,240,1395,188,1114
03:00:00,523,238,1395,186,1114
03:15:00,523,247,1395,186,1114
03:30:00,523,238,1395,186,1114
03:45:00,523,238,1395,186,1114
04:00:00,523,238,1431,168,1114
04:15:00,549,243,1431,168,1114
04:30:00,576,248,1431,168,1114
04:45:00,601,253,1431,168,1114
05:00:00,627,292,1540,160,1114
05:15:00,679,339,1540,160,1114
05:30:00,732,386,1540,229,1114
05:45:00,758,429,1540,309,1114
06:00:00,784,473,1534,365,657
06:15:00,915,533,1534,499,547
06:30:00,1045,594,1534,661,164
06:45:00,1045,632,1456,812,0
07:00:00,1045,716,1456,840,0
07:15:00,1072,730,1456,840,0
07:30:00,1098,782,1456,840,38
07:45:00,1150,773,1456,840,38
08:00:00,1202,753,1342,858,38
08:15:00,1228,758,1342,855,0
08:30:00,1255,781,1342,791,145
08:45:00,1307,799,1342,432,145
09:00:00,1360,878,1342,315,145
09:15:00,1385,901,1263,186,145
09:30:00,1412,887,1263,181,145
09:45:00,1412,896,1263,181,63
10:00:00,1412,887,1227,199,0
10:15:00,1438,882,1227,199,27
10:30:00,1464,896,1149,199,27
10:45:00,1516,914,1149,199,27
11:00:00,1568,895,1149,181,27
11:15:00,1543,881,1149,181,27
11:30:00,1516,876,1149,181,92
11:45:00,1568,866,1071,181,63
12:00:00,1621,983,1071,188,63
12:15:00,1646,997,1071,188,92
12:30:00,1673,1077,1071,188,92
12:45:00,1621,1059,1071,188,27
13:00:00,1568,900,1071,186,56
13:15:00,1516,854,1071,186,56
13:30:00,1464,825,1071,186,27
13:45:00,1464,845,1071,186,27
14:00:00,1464,909,1149,168,27
14:15:00,1490,857,1149,168,83
14:30:00,1516,862,1149,168,56
14:45:00,1529,901,1149,168,202
15:00:00,1543,1090,1149,160,202
15:15:00,1581,1059,1227,160,202
15:30:00,1621,1008,1227,160,199
15:45:00,1830,1063,1227,160,317
16:00:00,2039,1005,1191,159,110
16:15:00,2222,1055,1191,171,110
16:30:00,2114,999,1191,179,110
16:45:00,2240,1059,1191,193,110
17:00:00,2453,1077,1155,229,110
17:15:00,2537,1076,1233,246,110
17:30:00,2537,1023,1233,258,110
17:45:00,2325,935,1233,268,110
18:00:00,2114,925,1197,320,110
18:15:00,2065,868,1197,366,110
18:30:00,1882,764,1197,389,110
18:45:00,1856,754,1197,399,110
19:00:00,1830,634,1160,399,110
19:15:00,1804,610,1238,399,110
19:30:00,1778,615,1238,399,110
19:45:00,1726,597,1238,399,110
20:00:00,1673,590,1238,397,110
20:15:00,1646,594,1238,397,110
20:30:00,1621,581,1238,397,110
20:45:00,1595,576,1238,397,110
21:00:00,1568,533,1238,396,110
21:15:00,1516,487,1238,396,547
21:30:00,1464,449,1316,396,547
21:45:00,1385,426,1316,396,547
22:00:00,1307,396,1316,391,547
22:15:00,1228,364,1316,386,547
22:30:00,1150,360,1316,383,547
22:45:00,1045,333,1316,356,547
23:00:00,941,319,1316,317,547
23:15:00,902,312,1316,186,547
23:30:00,862,305,1316,181,1114
23:45:00,837,301,1316,181,1114